;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz;',./
Length=4
InvalidChar=;iuv
[Rule]
e2=p11+p12+p21+p22
e3=p11+p12+p21+p31
a4=p11+p21+p31+n11
[Data]
/ 、
shdv 示
shdw 社会地位
shdy 生活待遇
shdy 疏忽大意
shf 琐
shfb 示范
shff 三伏
shfh 示范户
shfl 社会福利
shfm 三方面
shfp 社会分配
shfq 社会风气
shfr 死灰复燃
shfs 生活方式
shfw 售后服务
shfw 社会服务
shfw 琐
shfy 三方
shfz 社会发展
shg 耜
shg; 耜
shgd 社会公德
shgf 三个
shgg 三国
shgg 深化改革
shgj 社会各界
shgl 社会管理
shgq 深厚感情
shgx 社会关系
shgy 三个月
shgz 善后工作
shh, 三好
shhh 珊瑚
shhj 社会环境
shhl 三环路
shj 寿
shj/ 三级
shjb 三角板
shjc 三江
shjd 三季度
shjf 三件
shjg 三极管
shjj 身怀绝技
shjj 社会经济
shjm 三脚猫
shjn 三届
shjp 三军
shjs 四化建设
shjt 三角
shjv 寿
shjx 三角形
shjy 生活经验
shjz 三角洲
shkn 生活困难
shkx 社会科学
shky 社会科学院
shlb 三菱
shlc 三轮车
shlf 示例
shlg 三连冠
shli 三类
shlj 身怀六甲
shll 伤痕累累
shll 素来
shlp 失魂落魄
shlq 三乱
shmf 寿命
shmu 三门
shmu 素描
shmx 三门峡
shnj 三年级
shnq 三年
shp 瑟
shpi 瑟
shpm 三陪
shpn 三陪女
shqj 神乎其技
shqq 三千
shqs 神乎其神
shqx 生活气息
shrn 示弱
shrs 三日
shsf 素食
shsg 三四
shsh 社会生活
shsi 素数
shsj 三十
shsk 琐碎
shsl 社会生产力
shsm 送货上门
shsn 寿司
shsn 三十年
shsp 生活水平
shss 实话实说
sht 珊
shth 三天
shtj 生活条件
shtt 社会团体
shtt 珊
shw/ 三维
shw; 三万
shwd 社会稳定
shwf 三位
shwg 三围
shwh 社会文化
shwj 四海为家
shwk 示威
shwt 社会问题
shwz 示威者
shxg 三峡
shxj 三星级
shxk 三夏
shxm 寿险
shxn 三弦
shxq 社会需求
shxs 三好学生
shxs 三星
shxs 寿星
shxw 社会新闻
shxx 社会现象
shxy 社会效益
shy; 素雅
shyd 三月
shyf 三亿
shyi 素养
shyj 三亚
shyk 素有
shyl 社会舆论
shyp 生活用品
shyt 示意图
shyy 示意
shz 三
shza 社会治安
shzb 三藏
shze 素质
shzf 示众
shzg 三中
shzh 社会主义现代化
shzj 社会主义国家
shzl 生活质量
shzr 社会责任
shzs 社会主义现代化建设
shzx 社会秩序
shzy 社会主义
shzz 社会组织
si 首
si. 羧
si.k 糁
si.r 羧
si; 烧
si;q 烧
siao 遂安
sibf 数倍
sibk 数百
sibl 送别
sibn 数百年
sibq 数不清
sibt 烧饼
sibx 烧杯
siby 善变
sicd 首次对
sicf 首创
sicm 送出
sicv 首场
sicy 首次
sicy 数次
sid 朔
sid; 送到
side 善待
sidg 送电
sidh 煽动
sidj 首都
sidk 送达
sidu 烧掉
sidy 首度
siej 善恶
sieo 数额
siet 首尔
siff 首付
sifo 首富
sifs 首发式
sift 烧饭
sift 首犯
sify 首府
sig 单
sig/ 送给
sigf 首个
sigh 单
sigz 首钢
sihe 善后
sihf 送货
sihg 送回
sihi 烧火
sihk 送还
sihv 烧坏
sihw 烧毁
sihz 煽惑
sii 燧
siik 燧
sij. 烧鸡
sij/ 烧结
sijc 烧酒
sijf 烧焦
sijh 送进
sijk 数据库
sijn 首届
sijo 首家
sijt 数九
siju 数据
sijy 送交
sik 炻
sika 首肯
sikh 首开
siki 烧烤
sikl 炻
siko 送客
siku 数控
sikx 首
sil 善
sil; 首轮
silb 数落
silf 首例
silf 首领
silh 数理化
sili 塑料
silj 数量级
silk 数列
sill 送来
silp 善良
silp 送礼
sils 数量
sim 鄯
simf 送命
simg 数目
simj 烧卖
simk 数码
simt 首名
simx 首枚
sind 首脑
sinq 数年
sip 送
sipi 烧瓶
sipk 煽
sipu 首批
sipv 遂
sipv 送
siq 数
siqj 首期
siqo 煽情
siqq 数千
siqr 数
siqv 送去
siqz 数钱
siqz 烧钱
sirf 首任
sirr 送入
sirs 数日
siru 烧热
sis 剡
sis/ 送书
sisa 送上
sisf 烧伤
sisg 送水
sisj 善事
sisk 烧死
sisn 数十年
siso 送审
sist 首饰
sisw 塑身
sit 烁
sitd 烁
sith 数天
situ 首推
siv 塑
siw; 数万
siwe 送往
siwf 首位
siwf 数位
siwn 首尾
six 槊
sixe 送行
sixf 送信
sixf 塑像
sixk 数学课
sixo 数学
sixp 善心
sixq 首先
sixq 烧香
sixs 首先是
sixx 首相
sixy 首席
siy 熵
siy. 数以
siyd 数月
siyf 数亿
siyh 善于
siyi 熵
siyj 首要
siyk 首页
siys 首映
siyy 善意
siyz 兽医
siz 兽
siz/ 数组
siza 善战
sizb 送葬
sizf 数值
sizh 数字化
sizi 烧着
sizj 善哉
sizj 数载
sizl 兽
sizn 首张
sizo 数字
sizq 塑造
sizq 首长
sizs 数字式
sizt 数周
sizv 送走
sizy 首座
sj 十
sj. 酸
sj.r 酸
sj/ 索
sj/u 索
sja 世
sjab 世
sjar 生机盎然
sjaz 甚
sjba 散步
sjbb 生机勃勃
sjbb 身价百倍
sjbc 声波
sjbf 十倍
sjbk 散布
sjbm 拾金不昧
sjbr 十八
sjbs 世界杯赛
sjbu 散播
sjbw 士兵
sjby 事变
sjbz 身经百战
sjck 速成
sjcl 世界潮流
sjcq 声称
sjcv 散场
sjcx 酸楚
sjcy 十次
sjdf 世代
sjdg 少见多怪
sjdi 速递
sjdi 世道
sjdi 声道
sjdj 声带
sjdk 十大
sjdl 斯大林
sjdn 十多年
sjdp 声调
sjds 世界大赛
sjdt 甚多
sjdu 散打
sjdx 手机短信
sjdy 速度
sjdz 世界大战
sje 斯
sjeh 十二
sjej 斯
sjek 甚而
sjet 事儿
sjey 十二月
sjf 鞘
sjf, 散发
sjf/ 束缚
sjfc 鞘
sjfh 丧夫
sjfr 十分
sjft 世风
sjfw 世界范围
sjfy 十方
sjfz 十分之
sjg 啬
sjgd 世界各地
sjgf 散光
sjgf 贳
sjgg 世界各国
sjgi 事关
sjgj 世故
sjgj 事故
sjgl 啬
sjgm 事隔
sjgo 士官
sjgy 甚高
sjgz 实际工作
sjh, 甚好
sjhc 速滑
sjhd 社交活动
sjhe 事后
sjhf 散会
sjhf 散伙
sjhg 索贿
sjhp 散户
sji 丧
sjij 粟
sjiz 丧
sjj 酾
sjj. 酾
sjj/ 世纪
sjjb 世界杯
sjjc 世纪初
sjjf 事件
sjjg 世界
sjjh 数据交换
sjjj 世界经济
sjjl 三教九流
sjjl 世界里
sjjm 世纪末
sjjn 十几年
sjjo 世家
sjjp 速记
sjjp 散记
sjjr 舍己救人
sjjs 世界上
sjjt 十几
sjjt 十九
sjju 世间
sjjx 世界性
sjjy 事迹
sjka 声卡
sjkd 时间跨度
sjkh 散开
sjkn 实际困难
sjku 声控
sjlb 散落
sjlc 声浪
sjld 势均力敌
sjlf 事例
sjlg 十里
sjlh 事理
sjll 酸溜溜
sjln 速录
sjlq 散乱
sjls 世界历史
sjly 酸辣
sjly 速率
sjly 十六
sjm 声
sjm, 甚妙
sjm/ 声母
sjmc 散漫
sjmf 丧命
sjmk 世面
sjmk 声
sjml 索马里
sjmn 释迦牟尼
sjms 声明
sjms 神机妙算
sjmt 世贸
sjmt 声名
sjmy 世界贸易
sjmz 世界贸易组织
sjn 事
sjn, 酸奶
sjn. 声能
sjn/ 声纳
sjna 肆虐
sjnb 事
sjnh 肆
sjnl 十几年来
sjnn 索尼
sjnq 十年
sjnx 束
sjof 丧偶
sjp 速
sjpa 声频
sjpg 索赔
sjpj 速配
sjpp 述评
sjpv 述
sjpv 速
sjq 散
sjq; 十七
sjqd 酥
sjqi 事前
sjqj 索取
sjqk 三缄其口
sjqk 实际情况
sjql 杀鸡取卵
sjql 世界前列
sjqn 十强
sjqo 事情
sjqq 士气
sjqr 散
sjqv 散去
sjqx 索桥
sjqy 舍近求远
sjr 术
sjr; 酸软
sjrc 四季如春
sjrf 世人
sjrm 世界人民
sjrq 散热器
sjrs 十日
sjrt 索然
sjru 散热
sjrv 术
sjry 善解人意
sjsa 世上
sjsc 酸涩
sjsd 甚少
sjsf 世俗
sjsg 十四
sjsh 世俗化
sjsi 术数
sjsj 丧事
sjsj 世事
sjso 事实
sjsp 述说
sjsq 丧失
sjsq 丧生
sjsq 散失
sjsq 散手
sjsr 神经衰弱
sjss 事实上
sjst 声色
sjsu 声势
sjsw 所见所闻
sjsz 身兼数职
sjth 十天
sjtk 事态
sjtk 世态
sjtl 丧尽天良
sjtp 声讨
sjtq 酸甜
sjtt 十条
sjtv 斯坦
sjtx 数据通信
sjty 酸痛
sjw; 十万
sjwe 甚微
sjwh 世界文化
sjwi 甚为
sjwj 十五
sjwl 酸味
sjwm 世界闻名
sjwq 事物
sjwr 舍己为人
sjws 事务所
sjwt 实际问题
sjwt 事务
sjwy 散文
sjwy 声望
sjwy 斯文
sjwz 世界卫生组织
sjxc 酸洗
sjxd 实际行动
sjxf 声像
sjxg 实际效果
sjxj 事项
sjxk 世袭
sjxl 声响
sjxm 身家性命
sjxo 索性
sjxo 酸性
sjxp 速写
sjxq 事先
sjxs 世界形势
sjxt 神经系统
sjxw 声息
sjxx 神经兮兮
sjxy 速效
sjyb 随机应变
sjyb 死记硬背
sjyc 酥油
sjyd 十月
sjyf 十亿
sjyg 事由
sjyh 甚远
sjyj 索要
sjyl 施加压力
sjyn 索引
sjyo 声誉
sjyo 事宜
sjyp 术语
sjys 事业
sjyt 声乐
sjyu 声援
sjyv 十堰
sjyy 声音
sjyy 肆意
sjyz 十一
sjz 士
sjz; 甚至
sjzb 丧葬
sjzf 酸值
sjzi 世尊
sjzj 述职
sjzl 十足
sjzm 实践证明
sjzn 声张
sjzo 十字
sjzq 丧家之犬
sjzs 石家庄市
sjzy 散装
sjzy 士卒
sk 死
sk, 耍
sk,c 豕
sk,z 耍
sk. 磉
sk.. 磉
sk.c 死
sk; 厍
sk;j 厍
skb, 戍边
skba 死背
skbk 石碑
skbn 石壁
skbx 死板
skbx 石板
skbz 殊不知
skcf 奢侈
skcp 奢侈品
skcx 石材
skcy 盛产
skd 砂
skdf 死党
skdg 盛典
skdi 砂
skdk 盛大
skdk 硕大
skdq 死敌
skdt 石雕
skdu 厮打
skez 适可而止
skf/ 石缝
skg 盛
skgf 厕
skgg 硕果
skgh 砷
skgj 石鼓
skgj 蜃
skgs 盛
skgw 死鬼
skgx 石膏像
skgy 石膏
skgz 砂锅
skh/ 死缓
skhc 死活
skhe 死后
skhf 盛会
skhf 石化
skhf 奢华
skhk 石灰
skhs 石灰石
skht 死胡同
skhy 石灰岩
skhz 石河子
skj 奢
skj. 石鸡
skj/ 石级
skja 厮
skjg 司空见惯
skjk 奢
skjm 石阶
skjo 死寂
skjp 死记
skjs 石景山
skjt 死角
skjx 死机
skjy 砂浆
skjz 石匠
skjz 石家庄
skk 硕
skkg 厦
skkg 硕
skkh 盛开
skkk 石矿
skkq 盛况空前
skkv 石块
skky 盛况
skky 石刻
skl 石
skl, 死力
skl; 砂轮
sklg 石蜡
skli 石料
sklj 耍赖
sklk 砂砾
sklk 碎裂
skll 死路
sklq 石榴裙
sklx 石榴
skmf 死命
skmg 石墨
skmh 碎末
skmt 盛名
skmw 石棉瓦
skmx 石棉
skmy 奢靡
skmy 石磨
skn. 死难
sknh 耍弄
sknz 死难者
skp 戍
skpc 戍
skpw 碎片
skq 殊
skq, 殇
skqg 死囚
skqj 殊
skql 石器
skqo 盛情
skqv 死去
skrb 殊荣
skrf 死人
skrp 守口如瓶
skrs 深刻认识
sks 卅
sksf 死伤
sksg 石山
sksj 硕士
sksj 盛世
sksj 盛事
sksk 砂石
sksm 时快时慢
sksn 死尸
skso 死守
sksp 死神
sksq 石笋
sksr 厮杀
skss 硕士生
skst 石狮
sksy 盛衰
skt. 石台
skti 砂糖
skto 石头
sktv 砂土
skwl 死亡率
skwm 戍卫
skwq 死物
skwy 死亡
skwy 奢望
skxe 盛行
skxh 死刑
skxk 盛夏
skxo 死穴
skxp 死心
skxy 死心眼
sky 碎
skyb 石英
skyc 石油
skyf 碎
skyg 死因
skyh 死于
skyk 死硬
skyo 盛宴
skyo 盛誉
skyq 盛筵
skyz 石英钟
skza 死战
skzb 实况转播
skzg 死罪
skzj 死者
skzm 砂子
skzm 石子
skzq 盛赞
skzr 石钟乳
skzx 石柱
skzy 盛装
sl 虽
sl. 嗓
sl.. 嗓
sl.r 唆
sl.t 吮
sl/ 咝
sl// 咝
sla 嘘
sla, 嘘
slbj 始料不及
slbk 虽不
slbm 塑料薄膜
slbs 生老病死
slbw 哨兵
slcz 顺理成章
sldy 霜冻
slex 顺流而下
slf 啥
slfc 哨
slfh 啥
slfk 斯洛伐克
slfw 唢
slfz 顺利发展
slg 呻
slgc 水利工程
slgh 呻
slgj 虽
slgs 胜利果实
slh 嗉
slh, 嗜好
slha 嗉
slhh 生龙活虎
sli 嗍
sli; 嗍
slj 嗜
slj 叶
slj, 哂
slja 嘶
sljk 嗜
sljl 嘶叫
sljm 霜降
sljn 嗽
sljp 嗦
sljs 水利建设
sljt 水陆交通
sljx 声泪俱下
sljz 十六进制
slk 嗄
slkg 嗄
sllh 说来话长
slml 嘶鸣
slmu 嗓门
sln 嗣
slnl 唢呐
slnl 嗣
slnn 霎那
slnr 色厉内荏
slnw 唰
slo 噻
slon 噻
slq 噬
slqd 四轮驱动
slqi 噬
slqj 身临其境
slrs 虽然是
slrt 虽然
slrw 萨拉热窝
slry 虽然有
slsb 生离死别
slsc 水落石出
slse 哨所
slsf 唆使
slsh 说老实话
slsj 哨声
slsl 嗖嗖
slsn 水利枢纽
slsp 虽说
slss 霎时
slss 虽是
slsx 顺利实现
slt 跚
sltd 生理特点
sltj 沙里淘金
slts 死里逃生
sltt 生灵涂炭
sltt 跚
slw 嗖
slw; 嗖
slwc 顺利完成
slwh 虽无
slwj 始料未及
slws 三令五申
slwy 斯洛文尼亚
slx 霜
slxg 霜
slxh 实力雄厚
slxl 吮吸
slxx 私立学校
sly 霎
sly, 嗾
slyi 唼
slyi 霎
slyk 虽有
slyl 呻吟
slyl 嘶哑
slyn 虽已
slyt 死路一条
slyy 嗓音
slyz 时来运转
slzk 虽在
slzm 嗓子
slzp 塑料制品
slzq 始乱终弃
slzs 擅离职守
slzw 胜利在望
slzy 水利资源
sm 收
smb/ 收编
smba 陕北
smbf 随便
smbf 四面八方
smbg 书面报告
smbq 随笔
smbw 收兵
smcb 收藏
smcc 生命财产
smcf 随从
smcg 鼠目寸光
smcg 四面楚歌
smcj 收藏夹
smck 收成
smcl 书面材料
smct 随处
smcv 收场
smd 孙
smd; 收到
smdc 隧洞
smdf 什么地方
smdi 隧道
smdm 随队
smdn 疏导
smdv 随地
smdv 孙
smdx 什么东西
smdy 深明大义
smdz 声名大振
smet 孙儿
smf, 收发
smfc 收费处
smfd 收服
smff 收付
smfn 收费
smfp 随访
smfq 收复
smfs 收发室
smft 随风
smfw 上门服务
smfy 书面发言
smfz 收费站
smgd 收归
smgg 收购
smgj 收工
smgl 收购量
smgo 收割
smgz 收购站
smh 祟
smhb 收获
smhc 收汇
smhd 祟
smhe 随后
smhf 收货
smhg 收回
smhq 随和
smhr 收货人
smhs 山盟海誓
smht 疏忽
smi 隧
smik 隧
smj/ 收缴
smjf 收集
smjl 手忙脚乱
smjn 随即
smjp 随军
smjr 收件人
smjs 收紧
smju 收据
smjx 随机
smjx 收件箱
smk 随
smkd 随
smkj 隋
smkj 收款
smkl 随口
smkq 收看
smkr 收款人
smkt 收款台
sml 陕
smlc 疏漏
smlf 收敛
smlg 收罗
smlj 声名狼藉
smln 收录
smlp 疏朗
smlq 陕
smlt 收留
smlu 收拢
smmb 收买
smmo 疏密
smn, 孙女
smnf 随你
smnj 陕南
smnz 驷马难追
smpe 收盘
smps 素昧平生
smpz 舍命陪君子
smqj 收取
smqq 声名鹊起
smqr 收
smqv 收起
smqz 收钱
smro 收容
smrr 收入
sms/ 收缩
smsc 神秘色彩
smsf 随俗
smsh 什么时候
smsj 疏散
smsl 收视率
smsm 书面声明
smsp 收视
smsq 随手
smsq 收税
smsr 收受
smss 随时
smst 随身听
smsu 收拾
smsw 随身
smsx 疏松
smsy 收市
smt. 疏通
smtg 随同
smtl 收听
smtt 收条
smtu 收摊
smty 隋唐
smtz 书面通知
smwk 孙悟空
smwn 收尾
smwt 什么问题
smwy 收文
smxe 随行
smxf 收信
smxj 陕西
smxj 数码相机
smxj 收下
smxp 随心
smxr 收信人
smxr 收悉
smxx 随想
smxy 收效
smy 疏
smy. 疏
smy/ 随缘
smyd 拭目以待
smyh 疏远
smyi 收养
smyi 收益
smyj 收音机
smyl 深谋远虑
smyl 收益率
smys 什么意思
smyt 收银台
smyx 随意性
smyy 随意
smyz 收银
smzc 收治
smzf 生米煮成熟饭
smzi 随着
smzj 收支
smzm 孙子
smzp 随之
smzq 收租
smzs 孙中山
smzy 三民主义
smzz 世贸组织
sn 属
snb 巳
snc 尸
sndl 十年动乱
sndv 属地
snet 少年儿童
snfb 司法部
snfc 司法
snfe 肃反
snfg 司法官
snfj 司法局
snfq 司法权
snft 司法厅
sngg 尸骨
sngh 十年规划
snhg 尸骸
snhy 首脑会议
sni 屎
snij 屎
snj 肃
snjc 肃
snje 塞内加尔
snjh 肃静
snjj 司局级
snjw 十拿九稳
snjx 司机
snko 司空
snl 司
snlb 司令部
snlc 少年老成
snlf 司令
snlg 司令官
snly 司令员
snly 肃立
snm/ 司马
snmq 肃穆
snmq 司马迁
snnj 司南
snpn 刷屏
snqc 肃清
snrr 十年如一日
snrt 肃然
sns 刷
snsi 尸首
snsm 十年树木
snsn 少男少女
snso 属实
snsq 熟能生巧
snsw 尸身
snte 司徒
sntf 尸体
snwn 属
snwz 司务长
snxc 刷洗
snxj 属下
snxl 刷新率
snxn 善男信女
snxo 属性
snxy 刷新
sny; 刷牙
snyf 司仪
snyh 属于
snzm 刷子
snzq 司长
so 实
so; 室
so;v 室
soba 塞北
sobt 守备
soc; 赛车
socc 实测
socj 宋朝
sock 守成
socn 守财奴
soco 审察
socp 宋词
socq 赛程
soct 实处
socv 赛场
socx 审查
sodf 宋代
sodi 赛道
sodo 审定
sodp 审订
sodq 守敌
sodv 实地
sof 宿
sofc 守法
sofk 宿
sog 赛
sogf 赛
sogg 宋国
sogh 审
sogq 审稿
sogx 赛格
soh 愫
soha 愫
sohe 赛后
sohf 守候
sohj 实惠
soho 守恒
sohp 实话
sohu 守护
sohx 审核
soj 守
soj/ 实绩
soja 慑
sojf 实价
sojg 慎
sojh 塞进
sojj 审计局
sojl 实践
sojm 实际
sojn 悚
sojp 审计
sojq 赛季
sojs 实际上
soju 实据
sojv 守
sojx 守旧
sojx 审校
sojy 宿将
sojz 实践中
soky 实况
sol, 实力
solf 实例
solh 审理
soln 实录
solp 实力派
solq 实利
som/ 赛马
somc 塞满
somf 宿命
somi 审美
somt 实名
somu 守门
somx 实木
somy 守门员
song 室内
sook 实
sop 邃
sopi 审判
sopl 赛跑
sopq 审批权
sopt 审判庭
sopu 审批
sopv 邃
sopy 审判员
sopz 审判长
soqi 赛前
soqo 实情
soqx 实权
soqz 赛区
sor 忪
sor. 忪
sort 悚然
sosa 塞上
sosf 宿舍
sosi 实数
sosj 实事
sosj 赛事
sosn 实属
soso 审慎
sosp 审视
soss 实时
sosu 守势
sosy 实施
sotf 宋体
sotf 实体
sov 塞
sovj 恃
sowc 室温
sowi 实为
sowm 守卫
sowq 实物
sowt 室外
sowt 塞外
sowt 实务
sowu 审问
sowy 守望
sox 宋
sox. 实习
sox/ 实线
soxe 实行
soxf 守信
soxf 实像
soxg 宿县
soxh 实现
soxp 审讯
soxq 实习期
soxs 实习生
soxy 实效
soy 窣
soy/ 实验
soyb 宿营
soyf 窣
soyj 实业家
soyn 实已
soyp 审议
soys 实验室
soys 实业
soyt 实用
soyu 审阅
soyx 实用性
soyy 守夜
soza 实战
soze 实质
sozf 守住
sozg 守则
sozi 守着
sozk 实在
sozl 实足
sozp 实证
sozq 慎重
sozr 室主任
sozs 实在是
sozx 实质性
sozy 宿主
sp 说
sp. 扇
sp.; 扇
sp.g 诵
spb, 试办
spbc 说不出
spbd 说不定
spbf 社保
spbg 说罢
spbj 诉不尽
spbk 谁不
spbl 识别
spbq 说不清
spbs 说不上
spbt 设备
spbw 四平八稳
spbz 说不准
spci 视差
spck 说成
spcl 说唱
spcm 说出
spco 视察
spco 视窗
spcp 诗词
spcr 神采
spcy 试产
spcz 说错
spd; 说到
spda 试点
spda 视点
spdd 说到底
spde 说得
spdh 扇动
spdi 说道
spdj 谁都
spdm 社队
spdn 神殿
spdo 设定
spdp 诵读
spdt 神雕
spe 诉
spec 衫
spej 诉
spf 谁
spf, 试飞
spfc 设法
spfc 说法
spfd 说服
spfg 诗赋
spfl 说服力
spfm 设防
spfp 谂
spfr 神父
spfy 谁
spg 神
spg/ 说给
spgh 神
spgj 说过
spgj 试过
spgj 谡
spgn 谁敢
spgq 试管
spgs 食品公司
spgt 视
spgx 讪
spgz 诗歌
sph 试
sph, 说好
spha 试
sphe 试航
sphf 社会
sphh 社会化
sphp 说话
sphp 神话
sphp 说谎
sphq 说和
sphr 视乎
sphs 社会上
sphx 社会性
sphz 诗画
spi 谥
spig 禅
spik 谥
spil 说
spj/ 神经
spjb 神经病
spjc 设计出
spjf 诗集
spjg 视界
spjh 说假话
spji 试卷
spjj 说教
spjj 商品经济
spjo 视觉
spjp 设计
spjq 社稷
spjs 设计师
spjs 试金石
spjt 诗句
spjt 视角
spjy 社交
spjz 设计者
spkb 诉苦
spkh 诗刊
spko 说客
spkq 试看
spky 社科院
spl 识
spl, 视力
splh 说理
splk 神龙
spll 死皮赖脸
spll 说来
spln 神灵
splp 社论
splr 识
spls 说了算
splt 商品流通
sply 设立
spm, 说媒
spmg 神秘感
spmk 扇面
spmq 神秘
spms 说明
spmw 说明文
spn 祀
spn. 谁能
spnb 祀
spns 神农氏
sppa 视频
sppk 识破
sppq 诗篇
spq 诜
spqa 诜
spqc 说清
spqj 诉求
spqk 神奇
spql 说起来
spqo 神情
spqo 说情
spqo 诗情
spqq 神气
spqs 神枪手
spqv 说起
spqy 说亲
spqz 社区
spr 讼
spr. 讼
sprf 诗人
sps. 神圣
sps/ 诗书
spsc 商品生产
spsf 神似
spsh 说实话
spsh 说真话
spsj 神速
spsk 试试看
spsm 说什么
spsp 试试
spsp 诉说
spsp 诉讼
spsq 神算
spst 神色
spsy 设施
spt 设
spt. 神通
spt. 设
sptf 诗体
sptg 试图
sptg 社团
sptg 视同
sptg 视图
sptj 石破天惊
sptk 神态
sptl 视听
sptl 试听
spts 试题
sptu 试探
sptv 诗坛
sptx 试探性
spty 神童
spv 社
spvj 诗
spwe 神往
spwi 设为
spwi 视为
spwk 神威
spwm 视网膜
spwo 说完
spws 食品卫生
spwu 试问
spwy 诗文
spx/ 视线
spxa 说些
spxe 试行
spxf 神仙
spxh 说闲话
spxh 扇形
spxj 设下
spxo 神学
spxo 诗兴
spxq 说笑
spxs 商品销售
spxx 设想
spxx 试想
spxz 试销
spy 谇
spy. 神勇
spy/ 试验
spyb 试用版
spyc 神游
spyf 谇
spyg 视野
spyh 诗云
spyj 说要
spyk 设有
spyl 社员
spym 谁也
spyo 设宴
spyq 试用期
spys 试一试
spyt 试用
spyx 试运行
spyy 诗意
spyy 神韵
spyz 试运转
spz/ 试纸
spze 神舟
spzf 视作
spzg 设置
spzi 神州
spzi 试着
spzi 说着
spzj 神志
spzk 设在
spzm 扇子
spzo 识字
spzp 诉诸
spzq 神智
spzq 社长
spzq 谁知
spzq 试制
spzw 视之为
spzy 诉状
sq 生
sq. 私
sqb, 手边
sqba 手背
sqbg 失败
sqbh 手表
sqbk 私奔
sqbm 声情并茂
sqbn 手臂
sqbq 手笔
sqbq 上气不接下气
sqbs 算不上
sqbx 手柄
sqby 生病
sqbz 失败者
sqc; 私车
sqcc 死气沉沉
sqcf 失常
sqcf 失传
sqcg 生虫
sqcg 生财
sqcg 生产国
sqci 稍差
sqcj 适才
sqck 生存
sqck 生成
sqcl 生产力
sqcl 生产率
sqcm 算出
sqco 失宠
sqcp 生词
sqcq 失策
sqct 手册
sqcu 手持
sqcu 手抄
sqcu 失措
sqcw 生成物
sqcx 生产线
sqcy 生产
sqcz 生产者
sqd 筛
sqd; 升到
sqde 算得
sqdf 适当
sqdg 手电
sqdh 生动
sqdh 手动
sqdj 筛
sqdk 稍大
sqdq 稍等
sqds 算得上
sqdt 手电筒
sqdu 失掉
sqdv 失地
sqdw 手段
sqdy 适度
sqeo 税额
sqf 稍
sqfc 手法
sqfc 算法
sqfc 筲
sqfc 稍
sqff 黍
sqfg 升幅
sqfn 税费
sqfo 私愤
sqfp 私房
sqfq 手风琴
sqfr 私分
sqft 适逢
sqfu 手扶
sqg 算
sqgh 眚
sqgh 算
sqgj 甥
sqgj 手工
sqgk 手感
sqgo 升官
sqgq 手稿
sqgv 算卦
sqgx 升格
sqgx 生根
sqgy 升高
sqgy 手工业
sqh, 稍好
sqhc 生活
sqhe 稍后
sqhe 失衡
sqhf 适合
sqhf 稍候
sqhf 升华
sqhi 失火
sqhk 生还
sqhl 死去活来
sqhq 生活区
sqhs 生活上
sqhx 神气活现
sqhy 诗情画意
sqhy 深情厚谊
sqhz 生活中
sqi 税
sqil 税
sqj 手
sqj, 稍加
sqj/ 升级
sqj/ 手绢
sqjb 失敬
sqjc 私家车
sqjd 手脚
sqjf 筮
sqjg 手巾
sqji 生姜
sqji 穑
sqjj 升降机
sqjm 升降
sqjn 穗
sqjn 簌
sqjo 私家
sqjp 算计
sqjp 生计
sqjr 秫
sqjx 手机
sqjy 手迹
sqjy 私交
sqjz 生
sqk 失
sqkj 税款
sqkl 牲口
sqko 升空
sqku 失控
sqkv 矢
sqkv 失
sqkz 手铐
sql 舌
sqla 适龄
sqlb 失落
sqld 手榴弹
sqlg 手里
sqlh 生理
sqlj 生力军
sqlj 私聊
sqll 生路
sqll 手雷
sqln 生灵
sqln 失灵
sqlp 失礼
sqlq 失利
sqlq 私利
sqlr 盛气凌人
sqlr 恃强凌弱
sqls 适量
sqlx 生理学
sqly 失恋
sqly 私立
sqly 税率
sqlz 身强力壮
sqm/ 生母
sqmb 私募
sqmf 生命
sqmg 失眠
sqmi 生米
sqml 生命力
sqms 失明
sqmt 生猛
sqmx 生命线
sqmy 社情民意
sqmz 生命中
sqn 笋
sqnk 笋
sqnl 笥
sqnm 矧
sqp 适
sqpe 算盘
sqpf 生僻
sqpg 手帕
sqpj 适配
sqpj 税票
sqpl 生平
sqpm 失陪
sqpo 生怕
sqpq 适配器
sqpv 适
sqq 牲
sqqc 算清
sqqf 私企
sqqh 手球
sqqi 生前
sqqj 笙
sqqj 牲
sqqo 失窃
sqqo 私情
sqqq 生气
sqqs 神清气爽
sqqv 失去
sqqx 手枪
sqqy 升旗
sqr; 手软
sqrf 私人
sqrg 丧权辱国
sqrr 升入
sqrs 生日
sqs 剩
sqsa 手上
sqsa 升上
sqsc 生涩
sqsf 生食
sqsh 私生活
sqsi 算数
sqsj 山穷水尽
sqsj 手术
sqsj 失散
sqsj 失事
sqsj 私事
sqsj 算术
sqsk 生死
sqsm 生疏
sqsm 税收
sqsm 十全十美
sqso 失实
sqsp 私设
sqsq 稍稍
sqsq 失手
sqsq 失算
sqsq 三妻四妾
sqsq 簌簌
sqss 算是
sqss 适时
sqst 手术台
sqsu 手势
sqsx 山清水秀
sqsy 私塾
sqsz 私生子
sqsz 算式
sqsz 乘
sqt 歃
sqt. 私通
sqt; 舐
sqtb 手提包
